frame_idx,x,y,area,path_idx,major_length,minor_length
1,67,234,7440.0,5,4,4
2,54,234,5904.0,5.0,4,4
4,53,226,5728.0,5.0,4,4
6,37,226,4208.0,5.0,4,4
7,50,221,5536.0,5.0,4,4
8,54,217,6032.0,5.0,4,4
9,54,216,5664.0,5.0,4,4
10,58,215,6160.0,5.0,4,4
11,52,216,5888.0,5.0,4,4
13,51,214,5808.0,5.0,4,4
15,52,210,6128.0,5.0,4,4
16,46,214,5280.0,5.0,4,4
18,31,227,5472.0,5.0,4,4
21,24,218,2784.0,5.0,4,4
32,40,209,3296.0,5.0,4,4
35,45,204,5360.0,5.0,4,4
37,46,204,5136.0,5.0,4,4
44,52,200,5728.0,5.0,4,4
48,27,207,3024.0,5.0,4,4
58,26,201,2944.0,5.0,4,4
62,33,201,3232.0,5.0,4,4
64,35,199,4032.0,5.0,4,4
69,45,194,5392.0,5.0,4,4
70,47,196,4288.0,5.0,4,4
71,39,197,4400.0,5.0,4,4
72,24,200,2896.0,5.0,4,4
75,43,194,4864.0,5.0,4,4
76,31,199,3392.0,5.0,4,4
79,24,199,2656.0,5.0,4,4
80,22,200,2528.0,5.0,4,4
81,37,195,4048.0,5.0,4,4
82,55,190,6000.0,5.0,4,4
83,63,189,6672.0,5.0,4,4
84,37,196,3968.0,5.0,4,4
85,54,193,2240.0,5.0,4,4
86,48,192,4048.0,5.0,4,4
87,62,188,6432.0,5.0,4,4
88,64,186,6752.0,5.0,4,4
89,74,187,7552.0,5.0,4,4
90,43,194,4544.0,5.0,4,4
91,35,196,3936.0,5.0,4,4
92,54,191,5984.0,5.0,4,4
94,60,189,5744.0,5.0,4,4
95,59,191,4288.0,5.0,4,4
96,78,188,3712.0,5.0,4,4
97,52,194,5520.0,5.0,4,4
99,45,194,4784.0,5.0,4,4
101,49,192,5184.0,5.0,4,4
103,63,188,6320.0,5.0,4,4
104,47,193,5360.0,5.0,4,4
105,63,186,6656.0,5.0,4,4
106,49,191,5264.0,5.0,4,4
107,46,192,5104.0,5.0,4,4
108,55,188,5760.0,5.0,4,4
109,48,190,5552.0,5.0,4,4
110,59,188,6560.0,5.0,4,4
111,44,192,5168.0,5.0,4,4
112,46,195,4400.0,5.0,4,4
113,57,188,6528.0,5.0,4,4
114,41,193,4448.0,5.0,4,4
115,35,195,3840.0,5.0,4,4
118,38,195,3456.0,5.0,4,4
120,39,195,4128.0,5.0,4,4
121,33,195,3472.0,5.0,4,4
124,42,193,4448.0,5.0,4,4
128,36,194,4368.0,5.0,4,4
129,36,195,4256.0,5.0,4,4
131,45,191,4400.0,5.0,4,4
132,39,192,3120.0,5.0,4,4
133,34,195,3872.0,5.0,4,4
134,34,192,3648.0,5.0,4,4
135,38,194,3824.0,5.0,4,4
136,39,189,4432.0,5.0,4,4
141,54,188,2992.0,5.0,4,4
144,54,189,4704.0,5.0,4,4
145,40,191,4256.0,5.0,4,4
146,57,190,2704.0,5.0,4,4
147,35,193,3984.0,5.0,4,4
150,41,189,4080.0,5.0,4,4
154,35,191,3888.0,5.0,4,4
155,39,191,3296.0,5.0,4,4
166,22,193,2672.0,5.0,4,4
168,22,195,2496.0,5.0,4,4
172,24,189,2864.0,5.0,4,4
178,18,192,2112.0,5.0,4,4
188,30,194,3664.0,5.0,4,4
194,40,192,3296.0,5.0,4,4
196,43,190,4800.0,5.0,4,4
202,35,189,3792.0,5.0,4,4
203,28,192,2480.0,5.0,4,4
205,23,193,2752.0,5.0,4,4
209,21,189,1952.0,5.0,4,4
229,18,193,2160.0,5.0,4,4
232,14,191,1600.0,5.0,4,4
238,16,194,1888.0,5.0,4,4
250,13,196,1296.0,5.0,4,4
251,14,194,1840.0,5.0,4,4
253,15,202,1584.0,5.0,4,4
260,18,200,2016.0,5.0,4,4
267,15,202,1664.0,5.0,4,4
269,12,204,1584.0,5.0,4,4
271,12,200,1344.0,5.0,4,4
275,12,203,1440.0,5.0,4,4
300,11,204,1120.0,5.0,4,4
301,17,204,1648.0,5.0,4,4
305,14,205,1552.0,5.0,4,4
311,20,204,2240.0,5.0,4,4
316,16,205,1696.0,5.0,4,4
319,14,210,1840.0,5.0,4,4
328,15,212,1472.0,5.0,4,4
334,25,205,2800.0,5.0,4,4
340,20,210,2560.0,5.0,4,4
342,21,220,1936.0,5.0,4,4
349,30,204,1296.0,5.0,4,4
350,12,213,1552.0,5.0,4,4
351,12,209,1840.0,5.0,4,4
353,31,203,1376.0,5.0,4,4
355,30,208,1328.0,5.0,4,4
360,24,209,1840.0,5.0,4,4
364,23,215,2272.0,5.0,4,4
366,22,212,1840.0,5.0,4,4
375,20,213,2592.0,5.0,4,4
382,15,220,1440.0,5.0,4,4
383,20,212,2208.0,5.0,4,4
384,22,213,2016.0,5.0,4,4
387,26,204,1792.0,5.0,4,4
390,20,211,1584.0,5.0,4,4
399,17,211,2192.0,5.0,4,4
